"LANG","complexityoflanguages","costoflanguages","RSAcostoflanguages","type"
"fl1276",2,4.19213973799127,3.68451044145745,"Haspel-ok"
"fl1277",19,2.66584387534712,2.0410035590126,"Haspel-ok"
"fl1278",17,1.98278829604131,1.81893371725713,"Haspel-ok"
"fl1279",14,2.98182947662681,2.51802543625114,"Haspel-ok"
"fl128",19,2.10257346231064,1.61082123112748,"Haspel-ok"
"fl1280",19,2.65743944636678,2.15200608556171,"Haspel-ok"
"fl1281",8,3.92014519056262,3.09641084363834,"Haspel-ok"
"fl1282",4,2.43654822335025,2.03638793769575,"Haspel-ok"
"fl1283",3,3.05732484076433,3.05732484076433,"Haspel-ok"
"fl1284",18,2.95814431224857,1.99208993224387,"Haspel-ok"
"fl1285",8,3.72093023255814,2.98257314953495,"Haspel-ok"
"fl1286",6,2.90909090909091,2.75119419008018,"Haspel-ok"
"fl1287",11,1.61616161616162,1.45921240734774,"Haspel-ok"
"fl1288",16,2.43346007604563,2.13763691853888,"Haspel-ok"
"fl1289",3,3.05732484076433,3.05732484076433,"Haspel-ok"
"fl129",20,2.93975042743767,2.08702806007042,"Haspel-ok"
"fl1290",17,3.19334719334719,2.56424481460484,"Haspel-ok"
"fl1291",2,6.95652173913043,5.49663928304705,"Haspel-ok"
"fl1292",12,2.8688687890983,1.89616710225154,"Haspel-ok"
"fl1293",4,4.89795918367347,3.59495605655331,"Haspel-ok"
"fl1294",22,2.68000465278586,2.03128668987193,"Haspel-ok"
"fl1295",16,3.2527364963435,2.22267459653952,"Haspel-ok"
"fl1296",8,3.42755132401071,2.95343176325171,"Haspel-ok"
"fl1297",3,3.05732484076433,3.05732484076433,"Haspel-ok"
"fl1298",15,3.32473929272329,2.89311877078393,"Haspel-ok"
"fl1299",4,3.44086021505376,2.29686379320804,"Haspel-ok"
"fl13",2,4.19213973799127,3.68451044145745,"Haspel-ok"
"fl130",6,3.95061728395062,2.77792063534611,"Haspel-ok"
"fl1300",13,1.68618266978923,1.39891172657003,"Haspel-ok"
"fl1301",2,4.36363636363637,3.70665044227079,"Haspel-ok"
